,jasmin_name,latitude,longitude,Area
337,,55.183,-162.276,Alaska
338,dzenzursky,53.637,158.922,Kamchatka and Mainland Asia
339,,44.266999999999996,-129.879,Hawaii and Pacific Ocean
340,,85.60799999999999,85.25,Iceland and Arctic Ocean
341,east_zway,7.95,38.93,Africa and Red Sea
342,,-27.15,-109.38,South America
343,,50.68600000000001,156.014,Kuril Islands
344,ebulobo,-8.82,121.18,Indonesia
345,edgecumbe,57.05,-135.75,Alaska
346,edziza,57.72,-130.63,Canada and Western USA
347,eggella,56.57,158.52,Kamchatka and Mainland Asia
348,egon,-8.676,122.455,Indonesia
349,,48.958,153.93,Kuril Islands
350,,27.554000000000002,-112.552,Mexico and Central America
351,,-25.37,-68.88,South America
352,el_chichon,17.36,-93.228,Mexico and Central America
353,el_condor,-26.631999999999998,-68.361,South America
354,el_misti,-16.294,-71.40899999999999,South America
355,el_negrillar,-24.18,-68.25,South America
356,el_solo,-27.105,-68.71300000000001,South America
357,el_tigre,13.47,-88.43,Mexico and Central America
358,el_valle,8.58,-80.17,Mexico and Central America
359,,-22.33,-67.97,South America
360,elbrus,43.351000000000006,42.442,Mediterranean and W. Asia
361,elmenteita_badlands,-0.52,36.27,Africa and Red Sea
362,elovsky,57.55,160.53,Kamchatka and Mainland Asia
363,emi_koussi,19.8,18.53,Africa and Red Sea
364,,55.341,-162.07299999999998,Alaska
365,emuruangogolak,1.5,36.33,Africa and Red Sea
366,,47.95,-129.1,Hawaii and Pacific Ocean
367,erciyes_dagi,38.52,35.48,Mediterranean and W. Asia
368,,-77.53,167.17,Antarctica
369,erta_ale,13.6,40.67,Africa and Red Sea
370,,33.25,37.07,Middle East and Indian Ocean
371,,-21.6,-66.88,South America
372,,40.98,-127.5,Hawaii and Pacific Ocean
373,escorial,-25.083000000000002,-68.367,South America
374,esjufjoll,64.27,-16.65,Iceland and Arctic Ocean
375,esteli,13.17,-86.4,Mexico and Central America
376,etna,37.734,15.004000000000001,Mediterranean and W. Asia
377,etorofu-atosanupuri,44.808,147.131,Kuril Islands
378,etorofu-yakeyama,45.012,147.871,Kuril Islands
379,,48.38399999999999,-35.132,Atlantic Ocean
380,eyjafjallajokull,63.63,-19.62,Iceland and Arctic Ocean
381,,-26.8,-68.37,South America
382,fayal,38.6,-28.73,Atlantic Ocean
383,fedotych,57.13,160.4,Kamchatka and Mainland Asia
384,fentale,8.975,39.93,Africa and Red Sea
385,fernandina,-0.37,-91.55,South America
386,fisher,54.65,-164.43,Alaska
387,flores,14.308,-89.992,Mexico and Central America
388,,39.461999999999996,-31.215999999999998,Atlantic Ocean
389,,14.95,-24.35,Atlantic Ocean
390,fort_portal,0.7,30.25,Africa and Red Sea
391,,62.93,-137.38,Canada and Western USA
392,fourpeaked,58.77,-153.672,Alaska
393,fremrinamar,65.43,-16.65,Iceland and Arctic Ocean
394,,55.067,-162.835,Alaska
395,fuego,14.472999999999999,-90.88,Mexico and Central America
396,,-54.97,-70.262,South America
397,fuerteventura,28.358,-147.02,Atlantic Ocean
398,,37.77,-25.32,Atlantic Ocean
399,,50.266999999999996,155.246,Kuril Islands
400,gabillema,11.08,41.27,Africa and Red Sea
401,gada_ale,13.975,40.408,Africa and Red Sea
402,galeras,1.22,-77.37,South America
403,galunggung,-7.25,108.05799999999999,Indonesia
404,gamalama,0.8,127.33,Indonesia
405,gamchen,54.974,160.703,Kamchatka and Mainland Asia
406,gamkonora,1.38,127.53,Indonesia
407,gareloi,51.79,-178.794,Alaska
408,garibaldi,49.85,-123.0,Canada and Western USA
409,,49.92,-123.03,Canada and Western USA
410,gedamsa,8.35,39.18,Africa and Red Sea
411,gede-pangrango,-6.77,106.965,Indonesia
412,,-24.75,-66.17,South America
413,geodesistoy,56.33,158.67,Kamchatka and Mainland Asia
414,,4.813,96.82,Indonesia
415,,64.32,-20.3,Iceland and Arctic Ocean
416,ghegam_ridge,40.275,44.75,Mediterranean and W. Asia
417,,-30.035999999999998,-178.71200000000002,New Zealand to Fiji
418,glacier_peak,48.111999999999995,-121.113,Canada and Western USA
419,,33.1,35.97,Middle East and Indian Ocean
420,golaya,52.263000000000005,157.787,Kamchatka and Mainland Asia
421,golden_trout_creek,36.358000000000004,-118.32,Canada and Western USA
422,gollu_dag,38.35,34.57,Mediterranean and W. Asia
423,,62.13,-143.08,Alaska
424,gorely,52.559,158.03,Kamchatka and Mainland Asia
425,gorny_institute,57.33,160.2,Kamchatka and Mainland Asia
426,graciosa,39.02,-27.97,Atlantic Ocean
427,gran_canaria,28.0,-15.58,Atlantic Ocean
428,granada,11.92,-85.98,Mexico and Central America
429,great_sitkin,52.076,-176.13,Alaska
430,,64.02,-21.17,Iceland and Arctic Ocean
431,griggs,58.354,-155.092,Alaska
432,grimsnes,64.03,-20.87,Iceland and Arctic Ocean
433,grimsvotn,64.416,-17.316,Iceland and Arctic Ocean
434,groppo,11.73,40.25,Africa and Red Sea
435,,29.07,-118.28,Mexico and Central America
436,guagua_pichincha,-0.171,-78.598,South America
437,guallatiri,-18.42,-69.092,South America
438,guayaques,-22.895,-67.566,South America
439,guazapa,13.9,-89.12,Mexico and Central America
440,gufa,12.55,42.53,Africa and Red Sea
441,guntur,-7.143,107.84,Indonesia
442,,-6.642,126.65,Indonesia
443,,19.7,110.1,Philippines and SE Asia
444,haleakala,20.708000000000002,-156.25,Hawaii and Pacific Ocean
445,halla,33.361,126.53,Kamchatka and Mainland Asia
446,hanish,13.72,42.73,Africa and Red Sea
447,,13.58,46.12,Middle East and Indian Ocean
448,,15.63,44.08,Middle East and Indian Ocean
449,,14.05,48.33,Middle East and Indian Ocean
450,,14.57,44.67,Middle East and Indian Ocean
451,,18.37,41.63,Middle East and Indian Ocean
452,,27.8,36.17,Middle East and Indian Ocean
453,,26.58,40.2,Middle East and Indian Ocean
454,,25.0,39.92,Middle East and Indian Ocean
455,,22.8,41.38,Middle East and Indian Ocean
456,,25.17,37.75,Middle East and Indian Ocean
457,,23.08,39.78,Middle East and Indian Ocean
458,,27.08,37.25,Middle East and Indian Ocean
459,,27.25,17.5,Africa and Red Sea
460,hasan_dagi,38.13,34.17,Mediterranean and W. Asia
461,,11.6,108.2,Philippines and SE Asia
462,,-31.11,179.04,New Zealand to Fiji
463,,61.64,-152.411,Alaska
464,hayli_gubbi,13.5,40.72,Africa and Red Sea
465,,-35.004,178.97299999999998,New Zealand to Fiji
466,,-53.106,73.513,Middle East and Indian Ocean
467,heart_peaks,58.6,-131.97,Canada and Western USA
468,,-23.23,-67.75,South America
469,hekla,63.98,-19.7,Iceland and Arctic Ocean
470,helgrindur,64.87,-23.25,Iceland and Arctic Ocean
471,hells_half_acre,43.5,-112.45,Canada and Western USA
472,hengill,64.08,-21.32,Iceland and Arctic Ocean
473,herbert,52.742,-170.111,Alaska
474,hertali,9.78,40.33,Africa and Red Sea
475,,27.73,-18.03,Atlantic Ocean
476,hiri,0.9,127.32,Indonesia
477,,-56.711999999999996,-27.176,Antarctica
478,hofsjokull,64.78,-18.92,Iceland and Arctic Ocean
479,homa_mountain,-0.38,34.5,Africa and Red Sea
480,honggeertu,41.47,113.0,Kamchatka and Mainland Asia
481,hood,45.373999999999995,-121.695,Canada and Western USA
482,hoodoo_mountain,56.78,-131.28,Canada and Western USA
483,,-41.873999999999995,-72.431,South America
484,hromundartindur,64.07300000000001,-21.201999999999998,Iceland and Arctic Ocean
485,hualalai,19.692,-155.87,Hawaii and Pacific Ocean
486,hululais,19.692,-155.87,Hawaii and Pacific Ocean
487,huambo,-15.83,-72.13,South America
488,,13.58,-71.72,South America
489,huanquihue_group,-39.887,-71.58,South America
490,huaynaputina,-16.608,70.85,South America
491,,-74.33,-99.42,Antarctica
492,huequi,-42.376999999999995,72.578,South America
493,hulubelu,-5.334,104.59,Indonesia
494,,-2.33,101.6,Indonesia
495,,64.75,-19.98,Iceland and Arctic Ocean
496,ibu,1.4880000000000002,127.63,Indonesia
497,ichinsky,55.578,157.718,Kamchatka and Mainland Asia
498,igwisi_hills,-4.891,31.93,Africa and Red Sea
499,ijen,-8.058,114.242,Indonesia
500,iktunup,58.08,160.77,Kamchatka and Mainland Asia
501,,-46.1,50.23,Middle East and Indian Ocean
502,,-46.43,52.2,Middle East and Indian Ocean
503,,-46.42,51.75,Middle East and Indian Ocean
504,,60.032,-153.09,Alaska
505,iliboleng,-8.342,123.258,Indonesia
506,iliinsky,51.498000000000005,157.203,Kamchatka and Mainland Asia
507,ililabalekan,-8.55,123.38,Indonesia
508,ilimuda,-8.479,122.76100000000001,Indonesia
509,iliwerung,-8.53,123.57,Indonesia
510,illiniza,-0.659,-78.714,South America
511,ilopango,13.672,-89.053,Mexico and Central America
512,imbabura,0.258,-78.183,South America
513,,65.6,-163.92,Alaska
514,,23.0,10.83,Africa and Red Sea
515,,-21.980999999999998,-68.071,South America
516,,-24.03,-67.53,South America
517,,-27.9,-68.8,South America
518,indian_heaven,45.93,-121.82,Canada and Western USA
519,infiernillo,-35.123000000000005,-69.9,South America
520,,61.43,-164.47,Alaska
521,inielika,-8.73,120.98,Indonesia
522,inierie,-8.875,120.95,Indonesia
523,,37.692,-119.02,Canada and Western USA
524,ipala,14.55,-89.63,Mexico and Central America
525,,20.469,122.01,Philippines and SE Asia
526,irazu,9.979,-83.852,Mexico and Central America
527,iriga,13.457,123.45700000000001,Philippines and SE Asia
528,irruputuncu,-20.73,-68.55,South America
529,,54.765,-163.72299999999998,Alaska
530,isarog,13.658,123.38,Philippines and SE Asia
531,ischia,40.73,13.897,Mediterranean and W. Asia
532,iskut-unuk_river_cones,56.58,-130.55,Canada and Western USA
533,isla_el_tigre,13.272,-87.641,Mexico and Central America
534,isla_isabel,21.848000000000003,-105.88600000000001,Mexico and Central America
535,isla_san_luis,29.97,-114.4,Mexico and Central America
536,isla_tortuga,27.438000000000002,-111.881,Mexico and Central America
537,isla_zacate_grande,13.33,-87.63,Mexico and Central America
538,isluga,-19.15,-68.83,South America
539,,-19.0,46.77,Middle East and Indian Ocean
540,ivao_group,45.77,149.68,Kuril Islands
541,ixtepeque,14.42,-89.68,Mexico and Central America
542,iya,-8.897,121.645,Indonesia
543,iyang-argapura,-7.97,113.57,Indonesia
544,izalco,13.812999999999999,-89.633,Mexico and Central America
545,iztaccihuatl,19.179000000000002,-98.64200000000001,Mexico and Central America
546,,-8.976,33.38,Africa and Red Sea
547,,32.658,36.425,Middle East and Indian Ocean
548,,15.245,44.236000000000004,Middle East and Indian Ocean
549,,15.43,44.78,Middle East and Indian Ocean
550,,17.05,42.83,Middle East and Indian Ocean
551,,42.15,-127.05,Hawaii and Pacific Ocean
552,jailolo,1.08,127.439,Indonesia
553,jalua,15.042,39.82,Africa and Red Sea
554,,-64.15,-57.75,Antarctica
555,,71.08,-8.17,Iceland and Arctic Ocean
556,jaraguay_volcanic_field,29.33,-114.5,Mexico and Central America
557,jatun_mundo_quri_warani,-19.78,-66.48,South America
558,jebel_at_tair,15.55,41.83,Africa and Red Sea
559,jebel_marra,12.95,24.27,Africa and Red Sea
560,jebel_zubair_group,15.05,42.18,Africa and Red Sea
561,jefferson,44.674,-121.8,Canada and Western USA
562,,44.08,128.83,Kamchatka and Mainland Asia
