,name,latitude,longitude
470,Huaynaputina,-16.608,70.85
471,Hudson Mountains,-74.33,-99.42
472,Huequi,-42.377,72.578
473,Hulubelu,-5.334,104.59
474,Hutapanjang,-2.33,101.6
475,Hveravellir,64.75,-19.98
476,Ichinsky,55.578,157.718
477,Igwisi Hills,-4.891,31.93
478,Iktunup,58.08,160.77
479,Ile aux Cochons,-46.1,50.23
480,Ile de l&#039;Est,-46.43,52.2
481,Ile de la Possession,-46.42,51.75
482,Iliamna,60.032,-153.09
483,Iliinsky,51.49800000000001,157.203
484,Illiniza,-0.659,-78.714
485,Ilopango,13.672,-89.053
486,Imbabura,0.258,-78.183
487,Imuruk Lake,65.6,-163.92
488,In Ezzane Volcanic Field,23.0,10.83
489,Inacalari,-21.981,-68.071
490,Incaguasi,-24.03,-67.53
491,Incapillo,-27.9,-68.8
492,Indian Heaven,45.93,-121.82
493,Infiernillo,-35.123000000000005,-69.9
494,Ingakslugwat Hills,61.43,-164.47
495,Inyo Craters,37.692,-119.02
496,Ipala,14.55,-89.63
497,Iraya,20.469,122.01
498,Irazú,9.979,-83.852
499,Iriga,13.457,123.457
500,Irruputuncu,-20.73,-68.55
501,Isanotski,54.765,-163.72299999999996
502,Isarog,13.658,123.38
503,Ischia,40.73,13.897
504,Iskut-Unuk River Cones,56.58,-130.55
505,Isla el Tigre,13.272,-87.641
506,Isla Isabel,21.848000000000006,-105.886
507,Isla San Luis,29.97,-114.4
508,Isla Tortuga,27.438,-111.881
509,Isla Zacate Grande,13.33,-87.63
510,Isluga,-19.15,-68.83
511,Itasy Volcanic Field,-19.0,46.77
512,Ivao Group,45.77,149.68
513,Ixtepeque,14.42,-89.68
514,Izalco,13.813,-89.633
515,Iztaccíhuatl,19.179,-98.642
516,Izumbwe-Mpoli,-8.976,33.38
517,Jabal ad Druze,32.658,36.425
518,Jabal el-Marha,15.245,44.236
519,Jabal Haylan,15.43,44.78
520,Jabal Yar,17.05,42.83
521,Jackson Segment,42.15,-127.05
522,Jalua,15.042,39.82
523,James Ross Island,-64.15,-57.75
524,Jan Mayen,71.08,-8.17
525,Jaraguay Volcanic Field,29.33,-114.5
526,Jatun Mundo Quri Warani,-19.78,-66.48
527,Jebel at Tair,15.55,41.83
528,Jebel Marra,12.95,24.27
529,Jebel Zubair Group,15.05,42.18
530,Jefferson,44.674,-121.8
531,Jingbo,44.08,128.83
532,Jocotitlán,19.73,-99.758
533,Jolo,6.013,121.057
534,Jom-Bolok,52.7,98.98
535,Jorcada,-22.08,-67.77
536,Jordan Craters,43.147,-117.46
537,Jumaytepeque,14.336,-90.269
538,Kaba,-3.52,102.62
539,Kagamil,60.974,-169.72
540,Kaguyak,58.608,-154.028
541,Kaikohe-Bay of Islands,-35.3,173.9
542,Kaileney,57.8,160.67
543,Kalatungan,7.95,124.8
544,Kambalny,51.306,156.875
545,Kamen,56.02,160.593
546,Kanaga,51.923,-177.168
547,Kanlaon,10.412,123.132
548,Karaca Dag,37.67,39.83
549,Karang,-6.27,106.042
550,Karapinar Field,37.67,33.65
551,Karisimbi,-1.506,29.45
552,Karpinsky Group,50.148,155.373
553,Karthala,-11.75,43.38
554,Karymsky,54.049,159.44299999999996
555,Kasatochi,52.177,-175.50799999999995
556,Katla,63.63,-19.05
557,Katmai,58.28,-154.963
558,Katunga,-0.471,30.191
559,Katwe-Kikorongo,-0.08,29.92
560,Kazbek,42.7,44.5
561,Kebeney,57.1,159.93
562,Kekurny,56.4,158.85
563,Kell,51.65,157.35
564,Keluo Group,49.37,125.92
565,Kembar,3.85,97.664
566,Kendang,-7.245,107.709
567,Kerguelen Islands,-49.58,69.5
568,Kerinci,-1.6969999999999998,101.264
569,Ketoi,47.35,152.475
570,Khangar,54.761,157.407
571,Khanuy Gol,48.67,102.75
572,Kharimkotan,49.12,154.50799999999995
573,Khodutka,52.062,157.711
574,Kialagvik,57.203,-156.745
575,Kikhpinych,54.489,160.251
576,Kilauea,19.421,-155.287
577,Kilimanjaro,3.07,37.35
578,Kinenin,57.35,160.97
579,Kiska,52.103,177.602
580,Kizimen,55.131,160.32
581,Klyuchevskoy,56.056,160.642
582,Kolbeinsey Ridge,66.67,-18.5
583,Kolokol Group,46.042,150.05
584,Komarov,55.033,160.725
585,Kone,8.8,39.692
586,Koniuji,52.22,-175.13
587,Kookooligit Mountains,63.6,-170.43
588,Korath Range,5.1,35.88
589,Korosi,0.77,36.12
590,Korovin,52.332,-174.137
591,Koryaksky,53.32100000000001,158.71200000000005
592,Kos,36.852,27.251
593,Koshelev,51.356,156.753
594,Kostakan,53.83,158.05
595,Kozyrevsky,55.58,158.38
596,Krafla,65.73,-16.78
597,Krainy,56.37,159.03
598,Krakatau,-6.102,105.423
599,Krasheninnikov,54.596,160.27
600,Kronotsky,54.753,160.533
601,Krysuvik,63.93,-22.1
602,Ksudach,51.844,157.572
603,Kukak,58.453,-154.355
604,Kula,38.58,28.52
605,Kulkev,56.37,158.37
606,Kunlun Volcanic Group,35.52,80.2
607,Kuntomintar,48.75,154.02
608,Kunyit,-2.274,101.483
609,Kupreanof,56.011,-159.797
610,Kurile Lake,51.45,15.12
611,Kurub,11.88,41.21
612,Kutum Volcanic Field,14.57,25.85
613,Kverkfjoll,64.65,-1.72
614,Kyatwa,0.45,30.25
615,Kyejo,-9.229,33.792
616,La Grille,-11.47,43.33
