,name,latitude,longitude
458,Haut Dong Nai,11.6,108.2
459,Havre Seamount,-31.11,179.04
460,Hayes,61.64,-152.411
461,Hayli Gubbi,13.5,40.72
462,Healy,-35.004,178.973
463,Heard,-53.106,73.513
464,Heart Peaks,58.6,-131.97
465,Hécar,-23.23,-67.75
466,Hekla,63.98,-19.7
467,Helgrindur,64.87,-23.25
468,Hell&#039;s Half Acre,43.5,-112.45
469,Hengill,64.08,-21.32
470,Herbert,52.742,-170.111
471,Hertali,9.78,40.33
472,Hierro,27.73,-18.03
473,Hiri,0.9,127.32
474,Hodson,-56.712,-27.176
475,Hofsjokull,64.78,-18.92
476,Homa Mountain,-0.38,34.5
477,Honggeertu,41.47,113
478,Hood,45.374,-121.695
479,Hoodoo Mountain,56.78,-131.28
480,Hornopirén,-41.874,-72.431
481,Hromundartindur,64.073,-21.202
482,Hualalai,19.692,-155.87
483,Huambo,-15.83,-72.13
484,Huambutillo-Rumicola,13.58,-71.72
485,Huanquihue Group,-39.887,-71.58
486,Huaynaputina,-16.608,70.85
487,Hudson Mountains,-74.33,-99.42
488,Huequi,-42.377,72.578
489,Hulubelu,-5.334,104.59
490,Hutapanjang,-2.33,101.6
491,Hveravellir,64.75,-19.98
492,Ibu,1.488,127.63
493,Ichinsky,55.578,157.718
494,Igwisi Hills,-4.891,31.93
495,Ijen,-8.058,114.242
496,Iktunup,58.08,160.77
497,Ile aux Cochons,-46.1,50.23
498,Ile de l&#039;Est,-46.43,52.2
499,Ile de la Possession,-46.42,51.75
500,Iliamna,60.032,-153.09
501,Iliboleng,-8.342,123.258
502,Iliinsky,51.498,157.203
503,Ililabalekan,-8.55,123.38
504,Ilimuda,-8.479,122.761
505,Iliwerung,-8.53,123.57
506,Illiniza,-0.659,-78.714
507,Ilopango,13.672,-89.053
508,Imbabura,0.258,-78.183
509,Imuruk Lake,65.6,-163.92
510,In Ezzane Volcanic Field,23,10.83
511,Inacalari,-21.981,-68.071
512,Incaguasi,-24.03,-67.53
513,Incapillo,-27.9,-68.8
514,Indian Heaven,45.93,-121.82
515,Infiernillo,-35.123,-69.9
516,Ingakslugwat Hills,61.43,-164.47
517,Inielika,-8.73,120.98
518,Inierie,-8.875,120.95
519,Inyo Craters,37.692,-119.02
520,Ipala,14.55,-89.63
521,Iraya,20.469,122.01
522,Irazú,9.979,-83.852
523,Iriga,13.457,123.457
524,Irruputuncu,-20.73,-68.55
525,Isanotski,54.765,-163.723
526,Isarog,13.658,123.38
527,Ischia,40.73,13.897
528,Iskut-Unuk River Cones,56.58,-130.55
529,Isla el Tigre,13.272,-87.641
530,Isla Isabel,21.848,-105.886
531,Isla San Luis,29.97,-114.4
532,Isla Tortuga,27.438,-111.881
533,Isla Zacate Grande,13.33,-87.63
534,Isluga,-19.15,-68.83
535,Itasy Volcanic Field,-19,46.77
536,Ivao Group,45.77,149.68
537,Ixtepeque,14.42,-89.68
538,Iya,-8.897,121.645
539,Iyang-Argapura,-7.97,113.57
540,Izalco,13.813,-89.633
541,Iztaccíhuatl,19.179,-98.642
542,Izumbwe-Mpoli,-8.976,33.38
543,Jabal ad Druze,32.658,36.425
544,Jabal el-Marha,15.245,44.236
545,Jabal Haylan,15.43,44.78
546,Jabal Yar,17.05,42.83
547,Jackson Segment,42.15,-127.05
548,Jailolo,1.08,127.439
549,Jalua,15.042,39.82
550,James Ross Island,-64.15,-57.75
551,Jan Mayen,71.08,-8.17
552,Jaraguay Volcanic Field,29.33,-114.5
553,Jatun Mundo Quri Warani,-19.78,-66.48
554,Jebel at Tair,15.55,41.83
555,Jebel Marra,12.95,24.27
556,Jebel Zubair Group,15.05,42.18
557,Jefferson,44.674,-121.8
558,Jingbo,44.08,128.83
559,Jocotitlán,19.73,-99.758
560,Jolo,6.013,121.057
561,Jom-Bolok,52.7,98.98
562,Jorcada,-22.08,-67.77
563,Jordan Craters,43.147,-117.46
564,Jumaytepeque,14.336,-90.269
565,Kaba,-3.52,102.62
